LAMMPS data file for 20 A silica coating on SiNW, created by AMAL M S, on 28-NOV-2020

3983 atoms
2 atom types


0.00 50.00  xlo xhi
0.00 50.00  ylo yhi
0.00 50.00  zlo zhi

Masses 

1 28.0855
2 15.9994

Atoms

114	2	-0.65	18.9762	32.3997	0.272573
115	2	-0.65	26.26425	32.43885	0.619885
116	1	1.3	30.4346	30.78	1.65148
117	2	-0.65	30.95725	31.82745	0.471211
118	2	-0.65	38.801	30.70145	1.712225
119	1	1.3	39.3902	31.56375	0.4726795
120	2	-0.65	40.6721	32.48045	0.94894
121	1	1.3	10.6671	32.62205	0.0984455
122	2	-0.65	11.24935	33.18875	1.506405
123	1	1.3	12.48415	33.7478	2.41609
124	2	-0.65	13.7812	34.246	1.53094
125	1	1.3	19.67675	33.6972	1.07877
126	2	-0.65	18.4863	34.3295	1.932945
127	2	-0.65	20.98695	33.1476	1.83546
128	2	-0.65	20.1561	34.98805	0.2707565
129	1	1.3	26.79005	33.4978	1.77134
130	2	-0.65	25.60395	34.54985	2.20957
131	2	-0.65	27.93375	34.5359	1.199755
132	1	1.3	34.0257	34.38815	1.888705
133	2	-0.65	32.7348	33.6525	1.270295
134	2	-0.65	35.1212	33.28935	2.439275
135	2	-0.65	39.76925	34.58565	2.216975
136	1	1.3	41.12475	33.7702	1.83254
137	2	-0.65	42.21235	34.7122	1.084045
138	1	1.3	14.4681	35.3556	0.53666
139	2	-0.65	14.99495	36.6351	1.425825
140	2	-0.65	17.50955	36.7166	2.46196
141	2	-0.65	22.0694	36.90775	1.04832
142	2	-0.65	24.56095	37.02845	2.02689
143	2	-0.65	29.82005	36.238	0.906655
144	1	1.3	28.59325	35.533	0.1111395
145	1	1.3	30.341	37.16315	2.11129
146	2	-0.65	34.621	35.325	0.64983
147	2	-0.65	38.72885	36.90975	1.794735
148	2	-0.65	10.1191	38.25325	1.505745
149	1	1.3	16.20715	37.54085	1.99044
150	2	-0.65	16.5235	38.59695	0.84132
151	1	1.3	17.78655	39.3515	0.0588055
152	1	1.3	23.26585	37.9212	1.482805
153	2	-0.65	23.781	38.9623	0.3349595
154	2	-0.65	29.09895	38.1805	2.314425
155	2	-0.65	31.5332	38.08965	1.548405
156	1	1.3	32.13245	38.8513	0.2255655
157	2	-0.65	33.40315	39.7863	0.62861
158	2	-0.65	36.26715	38.08245	2.046165
159	1	1.3	37.3882	37.54215	1.040515
160	2	-0.65	37.9357	38.7725	0.1880425
161	2	-0.65	18.6216	40.4424	0.92147
162	1	1.3	19.8317	41.03025	1.90172
163	2	-0.65	21.1007	41.6545	1.12168
164	2	-0.65	26.0855	40.1108	0.077655
165	1	1.3	26.6319	41.0894	1.237065
166	2	-0.65	27.25545	42.49875	0.67674
167	2	-0.65	25.46985	41.2865	2.416125
168	2	-0.65	27.9681	40.46445	1.97446
169	1	1.3	34.031	40.81105	1.76349
170	2	-0.65	32.77315	41.82705	2.097795
171	2	-0.65	35.2014	41.72585	1.2077
172	1	1.3	21.65235	42.85035	0.1965175
173	2	-0.65	22.22855	43.96575	1.197965
174	1	1.3	23.4302	44.49435	2.155415
175	2	-0.65	24.542	44.87415	1.018125
176	2	-0.65	29.08965	44.488	0.383759
177	1	1.3	17.94865	6.9884	3.08038
178	2	-0.65	19.1961	7.2385	4.146825
179	2	-0.65	26.51725	6.8404	3.19239
180	1	1.3	25.18745	7.32905	3.96651
181	2	-0.65	31.18255	6.579	3.979005
182	2	-0.65	20.9982	9.18925	4.95679
183	2	-0.65	24.02085	7.77365	2.92165
184	2	-0.65	25.68405	8.72325	4.62912
185	1	1.3	32.3579	7.57175	3.439115
186	2	-0.65	32.8782	8.39465	4.696255
187	2	-0.65	13.00155	10.8923	4.15442
188	1	1.3	14.33685	11.37025	3.38841
